dim,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
max_delay,1,1,1,1,1,1,1,1,1,1,1,1
num_delays,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
use_delays,False,False,True,False,True,True,True,False,True,False,True,False
maxiter,10000,10000,5000,10000,5000,5000,10000,5000,10000,5000,10000,5000
cost_function,zakharov,zakharov,ackley,zakharov,ackley,ackley,zakharov,ackley,zakharov,ackley,zakharov,ackley
tol,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
num_runs,100,100,100,100,100,100,100,100,100,100,100,100
filename,Zakharov_UnDelayed0_1000_sin-2,Zakharov_UnDelayed0_1000_Tri-2,Ackley_Delayed0_1000_sin-2,Zakharov_UnDelayed0_1000_inv,Ackley_Delayed0_1000_Tri-2,Ackley_Delayed0_1000_inv,Zakharov_Delayed0_1000_inv,Ackley_UnDelayed0_1000_sin-2,Zakharov_Delayed0_1000_sin-2,Ackley_UnDelayed0_1000_inv,Zakharov_Delayed0_1000_Tri-2,Ackley_UnDelayed0_1000_Tri-2
num_initials,20,20,20,20,20,20,20,20,20,20,20,20
num_processes,25,25,25,25,25,25,25,25,25,25,25,25
bayesian_samples,30,30,30,30,30,30,30,30,30,30,30,30
grid_samples,5,5,5,5,5,5,5,5,5,5,5,5
max_range_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_range_1,7.0,7.0,5.0,7.0,5.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0
min_range_0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0
min_range_1,7.0,7.0,5.0,,5.0,,,5.0,7.0,,7.0,5.0
lr_type,sin-2,tri-2,sin-2,inv,tri-2,inv,inv,sin-2,sin-2,inv,tri-2,tri-2
gamma_1,,,,0.0,,0.0,0.0,,,0.0,,
gamma_2,,,,1.0,,1.0,1.0,,,1.0,,
p_1,,,,0.0,,0.0,0.0,,,0.0,,
p_2,,,,1.0,,1.0,1.0,,,1.0,,
step_1,100.0,100.0,100.0,,100.0,,,100.0,100.0,,100.0,100.0
step_2,1000.0,1000.0,1000.0,,1000.0,,,1000.0,1000.0,,1000.0,1000.0
max_lr,2.7545815691614246,2.0927347224697663,2.3480558879422824,6.2362907257321405,0.30851493765853666,1.8930748747871655,5.711106022704588,0.054138088070237456,5.020404932511307,0.009508967272698343,4.912130589146729,0.47172449120033266
min_lr,0.6656860884286211,5.60765894963322,0.08149055700748142,,2.6700120950722877,,,0.4209911216398793,5.929926864517192,,5.747195570970841,0.1966783819138157
step_size,311.13578698293315,494.5210719574963,856.0107217395151,,446.0005159429518,,,334.35561023079663,942.5364410975178,,656.941830325699,984.8188010813142
bay_cost,7164783678913609.0,5805718912926436.0,1.6508105661430803,9429753303.977583,1.4624901190898454,14.945784092478432,8993078289.70249,19.504951125097598,4881267256.124895,19.502482749193017,7657916686.136341,19.50114755006892
p,,,,0.02185744518429722,,0.0,0.03256613412382647,,,0.29882139648584116,,
gamma,,,,0.5968819955763962,,1.0,0.35150257711867927,,,0.8997075305355964,,
